X,lnhr,lnwg,kids,age,disab,id,year,mlhr,mlwg,dlhr,dwg
5241,7.71,3.19,0,30,0,1,1979,7.742,3.218,-0.032,-0.028
5242,7.64,3.14,0,32,0,1,1980,7.742,3.218,-0.102,-0.0779999999999998
5243,7.71,3.11,0,33,0,1,1981,7.742,3.218,-0.032,-0.108
5244,7.72,3,0,34,0,1,1982,7.742,3.218,-0.0220000000000002,-0.218
5245,7.72,2.94,0,35,0,1,1983,7.742,3.218,-0.0220000000000002,-0.278
5246,7.73,3.12,1,35,0,1,1984,7.742,3.218,-0.0119999999999996,-0.0979999999999999
5247,7.73,3.55,1,37,0,1,1985,7.742,3.218,-0.0119999999999996,0.332
5248,7.82,3.34,1,38,0,1,1986,7.742,3.218,0.0780000000000003,0.122
5249,7.82,3.36,1,39,0,1,1987,7.742,3.218,0.0780000000000003,0.142
5250,7.82,3.43,1,40,0,1,1988,7.742,3.218,0.0780000000000003,0.212
1461,7.57,2.61,1,47,1,2,1979,7.555,2.679,0.0150000000000006,-0.0690000000000004
1462,7.61,2.66,0,47,1,2,1980,7.555,2.679,0.0550000000000006,-0.0190000000000001
1463,7.64,2.69,0,48,1,2,1981,7.555,2.679,0.085,0.0109999999999997
1464,7.61,2.64,0,49,1,2,1982,7.555,2.679,0.0550000000000006,-0.0390000000000001
1465,7.52,2.64,0,50,1,2,1983,7.555,2.679,-0.0350000000000001,-0.0390000000000001
1466,7.5,2.72,0,51,1,2,1984,7.555,2.679,-0.0549999999999997,0.0409999999999999
1467,7.65,2.75,0,53,1,2,1985,7.555,2.679,0.0950000000000006,0.0709999999999997
1468,7.44,2.67,0,53,1,2,1986,7.555,2.679,-0.114999999999999,-0.00900000000000034
1469,7.49,2.71,0,54,1,2,1987,7.555,2.679,-0.0649999999999995,0.0309999999999997
1470,7.52,2.7,0,55,1,2,1988,7.555,2.679,-0.0350000000000001,0.0209999999999999
3621,7.68,2.47,1,49,0,3,1979,7.558,2.463,0.122,0.00700000000000012
3622,7.65,2.55,0,50,0,3,1980,7.558,2.463,0.0920000000000005,0.0869999999999997
3623,7.57,2.51,0,51,0,3,1981,7.558,2.463,0.0120000000000005,0.0469999999999997
3624,7.58,2.47,0,52,0,3,1982,7.558,2.463,0.0220000000000002,0.00700000000000012
3625,7.34,2.43,0,53,0,3,1983,7.558,2.463,-0.218,-0.0329999999999999
3626,7.37,2.46,0,54,0,3,1984,7.558,2.463,-0.188,-0.00300000000000011
3627,7.54,2.45,0,55,0,3,1985,7.558,2.463,-0.0179999999999998,-0.0129999999999999
3628,7.64,2.45,0,56,0,3,1986,7.558,2.463,0.0819999999999999,-0.0129999999999999
3629,7.61,2.44,0,57,0,3,1987,7.558,2.463,0.0520000000000005,-0.0230000000000001
3630,7.6,2.4,0,58,0,3,1988,7.558,2.463,0.0419999999999998,-0.0630000000000002
